train_auroc,train_f1,train_accuracy,train_loss,step,epoch
0.8299999833106995,0.7111111283302307,0.675000011920929,0.5133402943611145,49,0
0.9424999952316284,0.8695651888847351,0.8500000238418579,0.3384658396244049,99,0
0.9300000071525574,0.8780487775802612,0.875,0.32081255316734314,149,0
0.9600000381469727,0.8636363744735718,0.8500000238418579,0.2971251904964447,199,0
