train_accuracy,train_auroc,train_f1,step,epoch,train_loss
0.7250000238418579,0.7724999785423279,0.7441860437393188,49,0,0.5952998995780945
0.800000011920929,0.9275000095367432,0.8260869383811951,99,0,0.37253478169441223
0.8999999761581421,0.9024999737739563,0.8999999761581421,149,0,0.329791396856308
0.8999999761581421,0.9600000381469727,0.9047619104385376,199,0,0.2596839368343353
0.8999999761581421,0.9900000095367432,0.9090909361839294,249,0,0.22538518905639648
0.8500000238418579,0.887499988079071,0.8636363744735718,299,0,0.3999607563018799
0.800000011920929,0.8600000143051147,0.800000011920929,349,0,0.5223152041435242
0.949999988079071,0.9850000143051147,0.9523809552192688,399,0,0.15673254430294037
0.8999999761581421,0.9449999928474426,0.9047619104385376,449,0,0.22648750245571136
0.875,0.925000011920929,0.8837209343910217,499,0,0.3380344808101654
0.8999999761581421,0.9500000476837158,0.9047619104385376,549,0,0.2916853129863739
0.875,0.9700000286102295,0.8780487775802612,599,0,0.21337082982063293
0.8999999761581421,0.9574999809265137,0.9047619104385376,649,0,0.25314587354660034
0.824999988079071,0.89000004529953,0.8292682766914368,699,0,0.5130518078804016
0.949999988079071,0.9950000047683716,0.949999988079071,749,0,0.18485669791698456
0.8999999761581421,0.9325000047683716,0.8947368264198303,799,0,0.2797929048538208
0.8999999761581421,0.9750000238418579,0.8999999761581421,849,0,0.20883165299892426
0.8999999761581421,0.934999942779541,0.8999999761581421,899,0,0.3052279055118561
0.8500000238418579,0.8974999785423279,0.8500000238418579,949,0,0.3765369951725006
0.875,0.9350000619888306,0.8717948794364929,999,0,0.35733479261398315
0.875,0.9325000047683716,0.8571428656578064,1049,0,0.3470810353755951
0.8500000238418579,0.9325000047683716,0.8571428656578064,1099,0,0.32723090052604675
0.8999999761581421,0.9574999809265137,0.9090909361839294,1149,0,0.2662316858768463
0.875,0.9474999904632568,0.8648648858070374,1199,0,0.28299498558044434
0.7749999761581421,0.8925000429153442,0.7804877758026123,1249,0,0.41615891456604004
0.925000011920929,0.987500011920929,0.9189189076423645,1299,0,0.2200322151184082
0.8999999761581421,0.9075000286102295,0.9090909361839294,1349,0,0.3039620816707611
0.875,0.9500000476837158,0.8780487775802612,1399,0,0.25620099902153015
0.800000011920929,0.9424999952316284,0.8333333134651184,1449,0,0.38677749037742615
0.800000011920929,0.9075000286102295,0.7894737124443054,1499,0,0.37576404213905334
0.875,0.9275000095367432,0.8837209343910217,1549,0,0.3410840928554535
0.7749999761581421,0.9125000238418579,0.8163265585899353,1599,0,0.42794400453567505
0.824999988079071,0.9149999618530273,0.8510638475418091,1649,0,0.3687770664691925
0.875,0.9624999761581421,0.8780487775802612,1699,0,0.288356214761734
0.925000011920929,0.9824999570846558,0.930232584476471,1749,0,0.2165224552154541
0.8999999761581421,0.9424999952316284,0.8999999761581421,1799,0,0.2880527079105377
0.824999988079071,0.9424999952316284,0.8444444537162781,1849,0,0.30529507994651794
0.875,0.9600000381469727,0.8780487775802612,1899,0,0.26341113448143005
0.9750000238418579,1.0,0.9756097793579102,1949,0,0.1283280998468399
